DATE,PM2.5,PM10,HCHO,TVOC,TEMP,HUMI,UNIT
2023-07-24 00:00:37, 2.5, 4.6,0.05,0.18, 28, 56,C
2023-07-24 00:01:37, 2.1, 3.5,0.05,0.18, 28, 56,C
2023-07-24 00:02:37, 2.1, 4.0,0.05,0.18, 28, 57,C
2023-07-24 00:03:37, 2.7, 4.6,0.04,0.18, 28, 57,C
2023-07-24 00:04:37, 1.8, 3.2,0.04,0.18, 28, 57,C
2023-07-24 00:05:37, 2.0, 3.3,0.04,0.18, 29, 57,C
2023-07-24 00:06:37, 2.1, 3.7,0.04,0.18, 29, 57,C
2023-07-24 00:07:37, 2.1, 3.6,0.04,0.18, 29, 58,C
2023-07-24 00:08:37, 2.2, 3.9,0.04,0.18, 29, 58,C
2023-07-24 00:09:37, 1.8, 3.2,0.04,0.18, 29, 58,C
2023-07-24 00:10:37, 2.0, 3.5,0.04,0.18, 29, 58,C
2023-07-24 00:11:37, 2.1, 3.9,0.04,0.18, 29, 58,C
2023-07-24 00:12:37, 2.1, 3.9,0.04,0.17, 29, 58,C
2023-07-24 00:13:37, 2.1, 3.6,0.04,0.17, 29, 58,C
2023-07-24 00:14:37, 2.0, 3.7,0.04,0.18, 29, 59,C
2023-07-24 00:15:37, 2.6, 4.4,0.04,0.17, 29, 59,C
2023-07-24 00:16:37, 2.1, 3.4,0.04,0.17, 29, 59,C
2023-07-24 00:17:37, 2.2, 3.8,0.04,0.17, 29, 59,C
2023-07-24 00:18:37, 2.3, 3.9,0.04,0.17, 29, 59,C
2023-07-24 00:19:37, 2.3, 4.1,0.04,0.17, 29, 59,C
2023-07-24 00:20:37, 2.2, 4.0,0.04,0.17, 29, 59,C
2023-07-24 00:21:37, 2.2, 3.8,0.04,0.17, 29, 59,C
2023-07-24 00:22:37, 2.3, 4.2,0.04,0.17, 29, 59,C
2023-07-24 00:23:37, 2.1, 3.7,0.04,0.17, 29, 59,C
2023-07-24 00:24:37, 1.6, 2.8,0.04,0.17, 29, 60,C
2023-07-24 00:25:37, 1.8, 3.1,0.04,0.17, 29, 60,C
2023-07-24 00:26:37, 2.5, 4.3,0.04,0.17, 29, 60,C
2023-07-24 00:27:37, 2.1, 3.9,0.04,0.17, 29, 60,C
2023-07-24 00:28:37, 1.9, 3.0,0.04,0.16, 29, 59,C
2023-07-24 00:29:37, 2.4, 4.4,0.04,0.16, 29, 60,C
2023-07-24 00:30:37, 2.4, 4.3,0.04,0.16, 29, 60,C
2023-07-24 00:31:37, 2.3, 4.0,0.04,0.16, 29, 60,C
2023-07-24 00:32:37, 1.7, 2.9,0.04,0.17, 29, 60,C
2023-07-24 00:33:37, 1.7, 3.1,0.04,0.17, 29, 60,C
2023-07-24 00:34:37, 2.3, 3.9,0.04,0.17, 29, 60,C
2023-07-24 00:35:37, 2.1, 3.8,0.04,0.16, 29, 60,C
2023-07-24 00:36:37, 2.3, 3.9,0.04,0.15, 29, 60,C
2023-07-24 00:37:37, 2.2, 3.6,0.04,0.16, 29, 60,C
2023-07-24 00:38:37, 2.0, 3.6,0.04,0.16, 30, 60,C
2023-07-24 00:39:37, 2.1, 3.9,0.04,0.16, 30, 60,C
2023-07-24 00:40:37, 2.3, 3.9,0.04,0.16, 30, 60,C
2023-07-24 00:41:37, 2.3, 4.0,0.04,0.16, 30, 60,C
2023-07-24 00:42:37, 2.1, 3.7,0.04,0.16, 30, 60,C
2023-07-24 00:43:37, 2.4, 4.3,0.04,0.16, 30, 60,C
2023-07-24 00:44:37, 2.3, 4.2,0.04,0.16, 30, 59,C
2023-07-24 00:45:37, 2.1, 3.8,0.03,0.11, 30, 57,C
2023-07-24 00:46:37, 2.1, 3.7,0.03,0.10, 30, 56,C
2023-07-24 00:47:37, 2.4, 4.3,0.03,0.11, 30, 55,C
2023-07-24 00:48:37, 2.3, 4.0,0.03,0.11, 29, 54,C
2023-07-24 00:49:37, 2.0, 3.5,0.03,0.12, 29, 54,C
2023-07-24 00:50:37, 2.0, 3.2,0.03,0.12, 29, 53,C
2023-07-24 00:51:37, 1.9, 3.4,0.03,0.12, 29, 53,C
2023-07-24 00:52:37, 1.5, 2.7,0.03,0.12, 29, 52,C
2023-07-24 00:53:37, 1.9, 3.6,0.03,0.13, 29, 52,C
2023-07-24 00:54:37, 2.3, 4.1,0.03,0.13, 29, 52,C
2023-07-24 00:55:37, 1.9, 3.5,0.03,0.13, 29, 52,C
2023-07-24 00:56:37, 2.0, 3.5,0.03,0.13, 29, 51,C
2023-07-24 00:57:37, 2.0, 3.5,0.03,0.13, 29, 51,C
2023-07-24 00:58:37, 1.6, 2.8,0.03,0.13, 29, 51,C
2023-07-24 00:59:37, 1.6, 2.7,0.03,0.13, 29, 50,C
2023-07-24 01:00:37, 2.0, 3.4,0.03,0.12, 29, 50,C
2023-07-24 01:01:37, 2.1, 3.4,0.03,0.13, 29, 50,C
2023-07-24 01:02:37, 2.2, 3.9,0.03,0.12, 29, 50,C
2023-07-24 01:03:37, 2.1, 3.7,0.03,0.13, 29, 50,C
2023-07-24 01:04:37, 2.0, 3.8,0.03,0.13, 29, 50,C
2023-07-24 01:05:37, 1.9, 3.4,0.03,0.13, 28, 50,C
2023-07-24 01:06:37, 1.6, 2.7,0.03,0.13, 28, 50,C
2023-07-24 01:07:37, 1.6, 3.0,0.03,0.13, 28, 50,C
2023-07-24 01:08:37, 1.6, 2.8,0.03,0.13, 28, 50,C
2023-07-24 01:09:37, 1.9, 3.3,0.03,0.13, 28, 50,C
2023-07-24 01:10:37, 2.0, 3.5,0.03,0.13, 28, 50,C
2023-07-24 01:11:37, 2.1, 3.8,0.03,0.13, 28, 51,C
2023-07-24 01:12:37, 2.0, 3.5,0.03,0.13, 28, 51,C
2023-07-24 01:13:37, 1.9, 3.4,0.03,0.13, 28, 51,C
2023-07-24 01:14:37, 1.6, 2.9,0.03,0.13, 28, 51,C
2023-07-24 01:15:37, 2.0, 3.6,0.03,0.13, 28, 51,C
2023-07-24 01:16:37, 1.9, 3.4,0.03,0.13, 28, 51,C
2023-07-24 01:17:37, 1.9, 3.3,0.03,0.13, 28, 51,C
2023-07-24 01:18:37, 1.8, 3.3,0.03,0.13, 28, 50,C
2023-07-24 01:19:37, 1.8, 3.2,0.03,0.13, 28, 51,C
2023-07-24 01:20:37, 1.8, 3.2,0.03,0.13, 28, 51,C
2023-07-24 01:21:37, 1.6, 2.9,0.03,0.13, 28, 51,C
2023-07-24 01:22:37, 1.3, 2.3,0.03,0.13, 28, 51,C
2023-07-24 01:23:37, 1.8, 3.1,0.03,0.13, 28, 51,C
2023-07-24 01:24:37, 1.9, 3.4,0.03,0.13, 28, 51,C
2023-07-24 01:25:37, 1.5, 2.6,0.03,0.13, 28, 51,C
2023-07-24 01:26:37, 1.3, 2.5,0.03,0.12, 28, 51,C
2023-07-24 01:27:37, 2.1, 3.8,0.03,0.12, 28, 51,C
2023-07-24 01:28:37, 1.7, 3.1,0.03,0.13, 28, 51,C
2023-07-24 01:29:37, 2.0, 3.6,0.03,0.12, 28, 51,C
2023-07-24 01:30:37, 1.9, 3.3,0.03,0.13, 28, 51,C
2023-07-24 01:31:37, 1.7, 2.9,0.03,0.12, 28, 51,C
2023-07-24 01:32:37, 1.8, 3.3,0.03,0.12, 28, 51,C
2023-07-24 01:33:37, 1.9, 3.3,0.03,0.12, 28, 51,C
2023-07-24 01:34:37, 1.3, 2.4,0.03,0.12, 28, 51,C
2023-07-24 01:35:37, 2.0, 3.6,0.03,0.12, 28, 51,C
2023-07-24 01:36:37, 1.6, 2.9,0.03,0.12, 28, 51,C
2023-07-24 01:37:37, 1.5, 2.5,0.03,0.12, 28, 51,C
2023-07-24 01:38:37, 1.6, 2.7,0.03,0.12, 28, 51,C
2023-07-24 01:39:37, 1.4, 2.6,0.03,0.12, 28, 51,C
2023-07-24 01:40:37, 1.9, 3.3,0.03,0.12, 28, 51,C
2023-07-24 01:41:37, 1.9, 3.4,0.03,0.11, 28, 50,C
2023-07-24 01:42:37, 1.5, 2.7,0.03,0.11, 28, 50,C
2023-07-24 01:43:37, 1.5, 2.7,0.03,0.11, 28, 50,C
2023-07-24 01:44:37, 1.8, 3.3,0.03,0.11, 28, 50,C
2023-07-24 01:45:37, 1.6, 2.7,0.03,0.12, 28, 50,C
2023-07-24 01:46:37, 1.7, 2.8,0.03,0.11, 28, 50,C
2023-07-24 01:47:37, 2.3, 3.3,0.03,0.11, 27, 50,C
2023-07-24 01:48:37, 3.1, 4.1,0.03,0.11, 28, 50,C
2023-07-24 01:49:37, 4.0, 5.0,0.03,0.11, 28, 50,C
2023-07-24 01:50:37, 5.6, 7.0,0.03,0.11, 27, 50,C
2023-07-24 01:51:37, 5.4, 6.2,0.03,0.12, 27, 51,C
2023-07-24 01:52:37, 5.2, 6.7,0.03,0.11, 27, 51,C
2023-07-24 01:53:37, 4.4, 5.2,0.03,0.11, 27, 51,C
2023-07-24 01:54:37, 4.3, 5.3,0.03,0.12, 27, 51,C
2023-07-24 01:55:37, 3.4, 5.1,0.03,0.12, 27, 51,C
2023-07-24 01:56:37, 2.3, 3.6,0.03,0.13, 27, 52,C
2023-07-24 01:57:37, 1.8, 3.1,0.03,0.13, 27, 53,C
2023-07-24 01:58:37, 1.5, 2.6,0.03,0.13, 28, 54,C
2023-07-24 01:59:37, 1.5, 2.6,0.04,0.14, 28, 54,C
2023-07-24 02:00:37, 1.9, 3.3,0.03,0.13, 28, 55,C
2023-07-24 02:01:37, 1.7, 2.9,0.03,0.13, 28, 55,C
2023-07-24 02:02:37, 1.8, 3.2,0.03,0.13, 28, 55,C
2023-07-24 02:03:37, 1.9, 3.3,0.03,0.13, 28, 55,C
2023-07-24 02:04:38, 1.4, 2.5,0.03,0.13, 28, 56,C
2023-07-24 02:05:38, 2.0, 3.4,0.03,0.13, 28, 56,C
2023-07-24 02:06:38, 1.7, 2.9,0.03,0.13, 28, 56,C
2023-07-24 02:07:38, 1.8, 3.1,0.03,0.13, 28, 56,C
2023-07-24 02:08:38, 1.6, 2.8,0.03,0.13, 28, 57,C
2023-07-24 02:09:38, 1.7, 2.9,0.03,0.12, 28, 56,C
2023-07-24 02:10:38, 1.7, 2.8,0.02,0.10, 28, 54,C
2023-07-24 02:11:38, 1.4, 2.5,0.02,0.09, 28, 54,C
2023-07-24 02:12:38, 1.9, 3.4,0.02,0.09, 28, 53,C
2023-07-24 02:13:38, 1.9, 3.4,0.02,0.09, 28, 53,C
2023-07-24 02:14:38, 1.8, 3.1,0.02,0.10, 28, 53,C
2023-07-24 02:15:38, 1.7, 2.9,0.02,0.10, 28, 53,C
2023-07-24 02:16:38, 1.6, 2.9,0.02,0.10, 28, 52,C
2023-07-24 02:17:38, 1.6, 2.9,0.02,0.10, 28, 52,C
2023-07-24 02:18:38, 1.7, 3.1,0.03,0.11, 28, 52,C
2023-07-24 02:19:38, 1.5, 2.7,0.03,0.11, 28, 53,C
2023-07-24 02:20:38, 1.8, 3.3,0.03,0.12, 28, 54,C
2023-07-24 02:21:38, 1.4, 2.3,0.03,0.12, 28, 54,C
